,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
8581,7801.0, ACEH , ACEH TIMUR , MADAT , PAYA DEMAM PEUT , desa Paya Demam Peut kec madat Kab. Aceh Timur prov. Aceh , SPPG Aceh Timur Madat Paya Demam Peut 
8582,7802.0, JAWA TENGAH , KOTA MAGELANG , MAGELANG SELATAN , TIDAR SELATAN ," Jl. Soekarno Hatta No.18, Tidar Selatan, Kecamatan Magelang Selatan Kota Magelang, Jawa Tengah  ", SPPG Kota Magelang Magelang Selatan Tidar Selatan 
8583,7803.0, JAWA TIMUR , LUMAJANG , RANUYOSO , RANUYOSO ," Kebonan Selatan Ranuyoso, Kec. Ranuyoso, Kab. Lumajang, Jawa Timur ", SPPG Lumajang Ranuyoso Ranuyoso 
8584,7804.0, JAWA BARAT , BEKASI , TAMBUN UTARA , SRIMUKTI ," Kampung Gabus Tengah Rt 002 Rw 02 Srimukti, Kecamatan Tambun Utara, Kabupaten Bekasi, Jawa Barat ", SPPG Bekasi Tambun Utara Srimukti 
8585,7805.0, JAWA BARAT , BOGOR , GUNUNG PUTRI , CIANGSANA ," Jl. Raya Ciangsana No.11.12.15, Ciangsana, Gunung Putri, Kabupaten Bogor, Jawa Barat ", SPPG Bogor Gunung Putri Ciangsana 2 
8586,7806.0, JAWA TIMUR , NGANJUK , NGANJUK , CANGKRIMAN ," Jl. Letjen S. Parman IV No. 32B, Cangkriman, Kec. Nganjuk, Kab. Nganjuk, Jawa Timur ", SPPG Nganjuk Nganjuk Cangkriman 2 
8587,7807.0, JAWA BARAT , SUMEDANG , SUMEDANG SELATAN , PASANGGRAHAN BARU ," Kampung Lebakhuni Rt 02 Rw 013, Kel. Pasanggrahan Baru, Kecamatan Sumedang Selatan, Kabupaten Sumedang, Jawa Barat ", SPPG Sumedang Sumedang Selatan Pasanggrahan Baru 
8588,7808.0, BANTEN , KOTA TANGERANG SELATAN , CIPUTAT , SAWAH BARU ," Jl. Cendrawasih 1 No 59, Sawah Baru, Kec. Ciputat, Kota Tangerang Selatan, Banten ", SPPG Kota Tangsel Ciputat Sawah Baru 2 
8589,7809.0, GORONTALO , GORONTALO , TIBAWA , DUNGGALA ," Jl. Bandara, Desa Dunggala, Kec. Tibawa, Kab. Gorontalo, Gorontalo ", SPPG Gorontalo Tibawa Dunggala 
8590,7810.0, JAWA BARAT , KOTA TASIKMALAYA , TAMANSARI , TAMANJAYA ," Kampung Sindangreret Rt004/004, Tamanjaya, Kecamatan Tamansari, Kota Tasikmalaya, Jawa Barat ", SPPG Kota Tasikmalaya Tamansari Tamanjaya 4 
8592,7811.0, PAPUA TENGAH , NABIRE , NABIRE , KALISUSU , Jl. Jakarta No. 08 Rt/Rw 006/006 Kel/Desa Kalisusu Kecamatan Nabire Kabupaten Nabire Provinsi Papua Tengah , SPPG Nabire Nabire Kalisusu 
8593,7812.0, SUMATERA UTARA , DELI SERDANG , SUNGGAL , PAYA GELI ," Jl. Medan Binjai Km.10 Gang Damai, Lorong Mesjid 2, Paya Geli, Kec. Sunggal, Kab. Deli Serdang, Sumatera Utara ", SPPG Deli Serdang Sunggal Paya Geli 5 
8594,7813.0, JAWA TIMUR , NGANJUK , BAGOR , PESUDUKUH ," Dusun Pesu Lor, Desa Pesudukuh, Kecamatan Bagor, Kabupaten Nganjuk, Provinsi Jawa Timur, Pesudukuh, Bagor, Kab. Nganjuk, Jawa Timur ", SPPG Nganjuk Bagor Pesudukuh 
8595,7814.0, JAWA BARAT , BANDUNG , PASEH , SUKAMANAH ," Jl. Sukamanah No.404 Majalaya, Rt.001 Rw.003 Desa Sukamanah Kec. Paseh, Kab. Bandung Jawa Barat ", SPPG Bandung Paseh Sukamanah 2 
8596,7815.0, JAWA BARAT , BEKASI , TAMBUN UTARA , SATRIAMEKAR ," Villa Gading Harapan 2  Blok F1 No 5A, RT 003 RW  010, Satriamekar,  Kecamatan Tambun Utara,  Kabupaten Bekasi, Provinsi  Jawa Barat ", SPPG Bekasi Tambun Utara Satriamekar 
8597,7816.0, MALUKU UTARA , HALMAHERA UTARA , TOBELO TIMUR , YARO , DESA YARO KECAMATAN TOBELO TIMUR , SPPG Halmahera Utara Tobelo Timur Yaro 
8598,7817.0, LAMPUNG , LAMPUNG BARAT , BALIK BUKIT , PASAR LIWA ," Jl. Gajah Mada, Kel. Pasar Liwa, Kec. Balik Bukit, Kab. Lampung Barat, Lampung ", SPPG Lampung Barat Balik Bukit Pasar Liwa 2 
8599,7818.0, SULAWESI SELATAN , BARRU , TANETE RILAU , PAO PAO ," Jl. Poros Makassar - Pare-Pare, Desa Pao-Pao, Dusun Lompengeng, Kabupaten Barru, Provinsi Sulawesi Selatan (Depan Mesjid Nurul Jihad) ", SPPG Barru Tanete Rilau Pao Pao 
8600,7819.0, JAWA BARAT , KOTA TASIKMALAYA , INDIHIANG , SUKAMAJU KIDUL ," Sukamaju Kidul Gunung Manggu, Sukamaju Kidul, Indihiang, Kota Tasikmalaya, Jawa Barat ", SPPG Kota Tasikmalaya Indihiang Sukamaju Kidul 
8601,7820.0, JAWA BARAT , KOTA TASIKMALAYA , CIPEDES , CIPEDES ," Jl. RE Martadinata No. 163 (Kampung Kebon Kembang), Cipedes, Kec. Cipedes, Kota Tasikmalaya, Jawa Barat ", SPPG Kota Tasikmalaya Cipedes Cipedes 2 
8603,7821.0, SULAWESI UTARA , KOTA MANADO , SARIO , RANOTANA ," Jl. Sam Ratulangi No.377, Kel. Ranotana, Kec. Sario, Kota Manado ", SPPG Kota Manado Sario Ranotana 
8604,7822.0, DKI JAKARTA , KOTA ADM. JAKARTA TIMUR , CIRACAS , KELAPA DUA WETAN ," Jl. Raya Kelapa Dua Wetan No.99. Kelapa Dua Wetan, Ciracas ", SPPG Jaktim Ciracas Kelapa Dua Wetan 1 
8605,7823.0, SUMATERA UTARA , SERDANG BEDAGAI , PERBAUNGAN , BATANG TERAP ," Jl. Fisifera Dalam No. 375, Kelurahan Batang Terap, Kecamatan Perbaungan, Kabupaten Serdang Bedagai, Provinsi Sumatera Utara ", SPPG Serdang Bedagai Perbaungan Batang Terap 2 
8606,7824.0, JAMBI ,  KERINCI , KAYU ARO BARAT , SUNGAILINTANG ," Jl. Bedeng 8 Buntu Rt01/Rw02, Desa Sungai Lintang, Kec. Kayu Aro Barat, Kab. Kerinci, Jambi 37165 ", SPPG  Kerinci Kayu Aro Barat Sungailintang 
8607,7825.0, JAWA TIMUR , MALANG , LAWANG , SRIGADING ," Dusun Krajan Rt 01 Rw 02 Desa Srigading, Kec. Lawang Kab. Malang Jawa Timur ", SPPG Malang Lawang Srigading 
