,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
122,111.0, JAWA BARAT , CIANJUR , CIJATI , PARAKANTUGU , Kampung Tugu Rt 003 Rw 002 , SPPG Cianjur Cijati Parakantugu 2 
123,112.0, SUMATERA UTARA , KOTA MEDAN , MEDAN KOTA , TELADAN TIMUR ," Jl. Pelajar No. 19/Jalan Aman 1 No.41 Teladan Timur, Kecamatan Medan Kota, Kota Medan, Sumatera Utara ", SPPG Kota Medan Medan Kota Teladan Timur 3 
124,113.0, JAWA TENGAH , BOYOLALI , BOYOLALI , SISWODIPURAN ," Jl. Jambu No. 5 Rt 02 Rw 08, Siswodipuran, Kecamatan Boyolali, Kabupaten Boyolali, Jawa Tengah ", SPPG Boyolali Boyolali Siswodipuran 4 
125,114.0, BENGKULU , KOTA BENGKULU , KAMPUNG MELAYU , KANDANG MAS ," Batalyon B Pelopor Jl. Setia Negara 6 Rt 28 Rw 04 Kel. Kandang Mas Kec. Kampung Melayu Kota Bengkulu, Kandang Mas, Kampung Melayu, Kota Bengkulu, Bengkulu ", SPPG Mabes Polri 3 
126,115.0, JAWA BARAT , BOGOR , CILEUNGSI , CILEUNGSI KIDUL ," Jl.Raya Cileungsi Jonggol Km 1, Cileungsi, Bogor, Cileungsi Kidul, Kec. Cileungsi, Kab. Bogor, Jawa Barat ", SPPG Bogor Cileungsi Cileungsi Kidul 
127,116.0, JAWA TENGAH , BANYUMAS , KALIBAGOR , KALIORI ," Desa Kaliori Rt 004 Rw 007 Kec.Kalibagor Kab. Banyumas, Kaliori, Kec. Kalibagor, Kab. Banyumas, Jawa Tengah ", SPPG Banyumas Kalibagor Kaliori 
128,117.0, JAWA TIMUR , JOMBANG , JOMBANG , JOMBATAN ," Jl. Kh Dewantara No.54 Rt 002 Rw 001, Jombatan, Kec. Jombang, Kab. Jombang, Jawa Timur ", SPPG Jombang Jombang Jombatan 6 
129,118.0, NUSA TENGGARA TIMUR , KOTA KUPANG , MAULAFA , OEPURA ," Jl. Fetor Foenay RT 09 RW 04, OEPURA, MAULAFA, KOTA KUPANG, NUSA TENGGARA TIMUR ", SPPG Kota Kupang Maulafa Oepura 
130,119.0, JAWA TENGAH , BLORA , TODANAN , COKROWATI ," Dukuh Cokrowati Rt 002 Rw 002 Kel. Cokrowati, Kecamatan Todanan, Kabupaten Blora, Jawa Tengah ", SPPG Blora Todanan Cokrowati 2 
131,120.0, DKI JAKARTA , KOTA ADM. JAKARTA UTARA , TANJUNG PRIOK , WARAKAS ," Jl. Warakas III Gang 5 No.21, Rt. 7 Rw. 3, Warakas, Kec. Tanjung Priok, Kota Adm. Jakarta Utara, Dki Jakarta ", SPPG Jakut Tanjung Priok Warakas 4 
133,121.0, JAWA BARAT , KUNINGAN , JAPARA , RAJADANU ," Jalan Raya Rajadanu-Sindangbarang, RT 003 RW 001, Desa Rajadanu, Kecamatan Japara, Kabupaten Kuningan, Jawa Barat ", SPPG Kuningan Japara Rajadanu 
134,122.0, JAWA TIMUR , SAMPANG , SOKOBANAH , SOKOBANAH DAYA ," Dusun Lembung, Desa Sokobanah Daya, Kecamatan Sokobanah, Kabupaten Sampang, Jawa Timur ", SPPG Sampang Sokobanah Sokobanah Daya 3 
135,123.0, KALIMANTAN TIMUR , KUTAI KARTANEGARA , SANGA SANGA , SANGA-SANGA DALAM ," Sanga-Sanga Dalam, Kec. Sanga Sanga, Kab. Kutai Kartanegara, Kalimantan Timur ", SPPG Kutai Kartanegara Sanga Sanga Sanga-sanga Dalam 3 
136,124.0, JAWA TENGAH , BANYUMAS , KEMRANJEN , KECILA , Jl. Nasional III No.1 Pasewan Rt.06 Rw 02 Kecila Kemranjen Banyumas Jawa Tengah , SPPG Banyumas Kemranjen Kecila 2 
137,125.0, JAWA TIMUR , LAMONGAN , KEDUNGPRING , SUKOMALO ," Mojoroto, Desa Sukomalo, Kec. Kedungpreng, Kab. Lamongan, Jawa Timur ", SPPG Lamongan Kedungpring Sukomalo 
138,126.0, JAWA BARAT , CIREBON , CILEDUG , CILEDUG KULON ," Blok Pon Rt.002. Rw.002 Desa/Kelurahan Ciledug Kulon, Kecamatan Ciledug, Kabupaten Cirebon Jawa Barat ", SPPG Cirebon Ciledug Ciledug Kulon 2 
139,127.0, JAWA BARAT , BEKASI , BABELAN , BAHAGIA ," Jl. Ujung Harapan No.30, Rt.008, Rw.005, Kel. Bahagia, Kec. Babelan, Kab. Bekasi, Jawa Barat 17350 ", SPPG Bekasi Babelan Bahagia 1 
140,128.0, JAWA TIMUR , MADIUN , MEJAYAN , KRAJAN ," Jl Panjaitan No. 72, Krajan, Mejayan, Kabupaten Madiun, Jawa Timur ", SPPG Madiun Mejayan Krajan 
141,129.0, BANTEN , TANGERANG , SEPATAN , KARET ," Jl. H. A Djuminta Kp. Teriti Rt. 001 Rw. 004 Desa Karet, Kec. Sepatan, Kab. Tangerang, Banten ", SPPG Tangerang Sepatan Karet 
142,130.0, SUMATERA UTARA , KOTA BINJAI , BINJAI KOTA , KARTINI ," Jl. Sultan Hasanudin, Kartini, Kec. Binjai Kota, Kota Binjai, Sumatera Utara ", SPPG Kota Binjai Binjai Kota Kartini 2 
144,131.0, KALIMANTAN BARAT , KUBU RAYA , SUNGAI KAKAP , PUNGGUR BESAR ," Jl. Pelita 3, Punggur Besar, Kec. Sungai Kakap, Kab. Kubu Raya, Kalimantan Barat ", SPPG Kubu Raya Sungai Kakap Punggur Besar 2 
145,132.0, JAWA BARAT , KOTA DEPOK , PANCORAN MAS , MAMPANG ," Jl. Damai 1, Kelurahan Mampang, Kecamatan Pancoran Mas, Kota Depok, Jawa Barat ", SPPG Kota Depok Pancoran Mas Mampang 1 
146,133.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , PRAYA , AIK MUAL ," Batu Tambun, Desa Aik Mual, Kec. Praya, Kab. Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Praya Aik Mual 2 
147,134.0, JAWA TENGAH , KOTA PEKALONGAN , PEKALONGAN TIMUR , KALI BAROS ," Jalan Dr. Sutomo No. 40, Kelurahan Kali Baros, Kecamatan Pekalongan Timur, Kota Pekalongan, Provinsi Jawa Tengah, 51128 ", SPPG Kota Pekalongan Pekalongan Timur Kali Baros 1 
148,135.0, JAWA TENGAH , TEGAL , SURADADI , GEMBONGDADI ," Jl. Raya Balamoa Kedungjati Rt 07 Rw 4 Desa Gembongdadi, Kec. Suradadi, Kab. Tegal, Jawa Tengah ", SPPG Tegal Suradadi Gembongdadi 
149,136.0, JAWA TIMUR , BOJONEGORO , KANOR , TEMU ," Dusun Singkel Rt 004 Rw 006, Desa Temu, Kecamatan Kanor, Kab. Bojonegoro, Jawa Timur ", SPPG Bojonegoro Kanor Temu 
150,137.0, SULAWESI SELATAN , JENEPONTO , ARUNGKEKE , PALAJAU ," Bontoloe, Palajau, Kec. Arungkeke, Kab. Jeneponto, Sulawesi Selatan ", SPPG Jeneponto Arungkeke Palajau 
151,138.0, MALUKU UTARA , KOTA TERNATE , KOTA TERNATE SELATAN , JATI ," RT 013 - RW 007. Kelurahan Jati, Kecamatan Ternate Selatan, Kota Ternate, Provinsi Maluku Utara, 97716 ", SPPG Kota Ternate Kata Ternate Selatan Jati 
152,139.0, KEPULAUAN RIAU , LINGGA , LINGGA , DAIK ," Jl. Baru Rt 001 Rw 004 Kampung Bugis, Kel. Daik, Kec. Lingga, Kab. Lingga, Kepulauan Riau ", SPPG Lingga Lingga Daik 2 
153,140.0, NUSA TENGGARA TIMUR , SIKKA , KANGAE , WATULIWUNG ," Wairhubing Rt 015 Rw 005 Desa Watuliwung, Kec. Kangae, Kab. Sikka, Nusa Tenggara Timur ", SPPG Sikka Kangae Watuliwung 2 
155,141.0, NUSA TENGGARA BARAT , BIMA , PALIBELO , PANDA ," Jl. Lintas Palibelo, Panda, Kec. Palibelo, Kab. Bima, Nusa Tenggara Barat ", SPPG Bima Palibelo Panda 
156,142.0, JAWA BARAT , SUKABUMI , KALIBUNDER , KALIBUNDER , Kp. Kalibunder RT 001 RW 001 Desa. Kalibunder Kec. Kalibunder Kab. Sukabumi , SPPG Sukabumi Kalibunder Kalibunder 
157,143.0, JAWA TIMUR , PAMEKASAN , LARANGAN , MONTOK ," Jl. Raya Pamekasan Sumenep No.96, Kaduara Barat, Montok, Kec. Larangan, Kab. Pamekasan, Jawa Timur ", SPPG Pamekasan Larangan Montok 2 
158,144.0, DAERAH ISTIMEWA YOGYAKARTA , KOTA YOGYAKARTA , NGAMPILAN , NOTOPRAJAN , Jl. Munir No 267 , SPPG Kota Yogyakarta Ngampilan Notoprajan 
159,145.0, DAERAH ISTIMEWA YOGYAKARTA , KOTA YOGYAKARTA , KOTAGEDE , PURBAYAN ," jl. Purbayan No.37 RT 55 RW 13, Purbayan, Kotagede, Kota Yogyakarta ", SPPG Kota Yogyakarta Kotagede Purbayan 2 
160,146.0, JAWA BARAT , KOTA BEKASI , PONDOKGEDE , JATIWARINGIN ," Jl. Setia 1 G RT 005 RW 004 No 71, Jatiwaringin, Kec. Pondokgede, Kota Bekasi, Jawa Barat 17411 ", SPPG Kota Bekasi Pondokgede Jatiwaringin 4 
161,147.0, SUMATERA SELATAN , KOTA PALEMBANG , ILIR TIMUR SATU , LIMA-BELAS ILIR ," Jl. Lakitan 15 Ilir, Kecamatan Ilir Timur 1, Kota Palembang, Sumatera Selatan ", SPPG Kota Palembang Ilir Timur Satu Lima-belas Ilir 
162,148.0, JAWA TENGAH , TEGAL , JATINEGARA , CERIH ," Jl. Dukuh Birman Kelurahan Cerih Kecematan Jatinegara Kabupaten Tegal, Jawa Tengah ", SPPG Tegal Jatinegara Cerih 2 
163,149.0, JAWA BARAT , KOTA DEPOK , TAPOS , TAPOS ," Jl. Raya Tapos, Tapos, Kecamatan Tapos, Kota Depok, Jawa Barat ", SPPG Kota Depok Tapos Tapos  7 
164,150.0, JAWA TIMUR , NGANJUK , REJOSO , SUKOREJO ," Jl. Halim Perdana Kusuma, Rt.004 Rw.001, Sukorejo, Kec. Rejoso, Kab. Nganjuk, Jawa Timur ", SPPG Nganjuk Rejoso Sukorejo 2 
166,151.0, SUMATERA BARAT , PADANG PARIAMAN , BATANG GASAN , MALAI V SUKU ," Sungai Sarik, Malai V Suku, Kec. Batang Gasan, Kab. Padang Pariaman, Sumatera Barat ", SPPG Padang Pariaman Batang Gasan Malai V Suku 
167,152.0, SULAWESI SELATAN , KOTA PAREPARE , BACUKIKI BARAT , BUMI HARAPAN ," Jl. Hikmah Kel Bumi Harapan, Kec. Bacukiki Barat, Kota Pare pare, Prov Sulawesi Selatan, BUMI HARAPAN, BACUKIKI BARAT, KOTA PARE PARE, SULAWESI SELATAN ", SPPG Kota Parepare Bacukiki Barat Bumi Harapan 
168,153.0, JAWA TENGAH , PEMALANG , WARUNGPRING , CIBUYUR ," Desa Cibuyur, Kecamatan Warungpring, Kabupaten Pemalang, Jawa Tengah ", SPPG Pemalang Warungpring Cibuyur 2 
169,154.0, JAWA TIMUR , BONDOWOSO , CURAHDAMI , PONCOGATI ," Jl. Diponegoro Rt 09 Rw 02 , Poncogati, Kec. Curahdami, Kab. Bondowoso, Jawa Timur ", SPPG Bondowoso Curahdami Poncogati 
170,155.0, JAWA TENGAH , KEBUMEN , PONCOWARNO , PONCOWARNO ," Jalan Raya Pencil km 5 Dukuh Mudal RT 02 RW 02,Desa Poncowarno, Kecamatan Poncowarno, Kebumen, Jawa Tengah ", SPPG Kebumen Poncowarno Poncowarno 
171,156.0, JAWA TENGAH , SUKOHARJO , SUKOHARJO , BEGAJAH ," Jalakan Rt 02 Rw 03 Begajah, Kecamatan Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah ", SPPG Sukoharjo Sukoharjo Begajah 
172,157.0, NUSA TENGGARA BARAT , LOMBOK UTARA , TANJUNG , SAMA GUNA ," Jalan Pekatan, Dusun Langgem Sari, Desa Sama Guna, Kecamatan Tanjung, Kabupaten Lombok Utara, Nusa Tenggara Barat ", SPPG Lombok Utara Tanjung Sama Guna 
173,158.0, JAWA BARAT , BOGOR , CIGOMBONG , CISALADA ," Kampung Cisalada Rt 02 / Rw 10, Desa. Cisalada, Kec. Cigombong, Kabupaten Bogor, Jawa Barat ", SPPG Bogor Cigombong Cisalada 
174,159.0, PAPUA PEGUNUNGAN , JAYAWIJAYA , HUBIKIAK , HETUMA ," Jl. Hom Hom Pikhe, Kampung Hetuma, Kec. Distrik Hubikiak, Kab. Jayawijaya, Papua Pegunungan ", SPPG Jayawijaya Hubikiak Hetuma 
175,160.0, LAMPUNG , LAMPUNG SELATAN , JATI AGUNG , JATI MULYO ," Jati Mulyo, Kec. Jati Agung, Kab, Lampung Selatan, Prov-Lampung ", SPPG Lampung Selatan Jati Agung Jati Mulyo 2 
177,161.0, JAWA TENGAH , BOYOLALI , CEPOGO , JELOK ," Jl. Boyolali Magelang, Dusun 3, Jelok, Cepogo, Kabupaten Boyolali, Jawa Tengah ", SPPG Boyolali Cepogo Jelok 
178,162.0, JAWA BARAT , KOTA BANDUNG , CIDADAP , HEGARMANAH ," Jl. Ciumbuleuit No.83, Hegarmanah, Kecamatan Cidadap, Kota Bandung, Jawa Barat  ", SPPG Kota Bandung Cidadap Hegarmanah 3 
179,163.0, SUMATERA UTARA , SIMALUNGUN , GUNUNG MALIGAS , KARANG SARI ," Jl. Siantar Serbelawan, Desa Karang Sari, Kec. Gunung Maligas, Kab. Simalungun ", SPPG Simalungun Gunung Maligas Karang Sari 2 
180,164.0, JAWA BARAT , SUKABUMI , CIDAHU , PASIRDOTON ," Kampung Pasirdoton Rt 02 Rw 01 Desa Pasirdoton, Kecamatan Cidahu, Kabupaten Sukabumi, Jawa Barat ", SPPG Sukabumi Cidahu Pasirdoton 
181,165.0, MALUKU UTARA , HALMAHERA UTARA , GALELA SELATAN , TOGAWABESI ," Desa Togawa Besi, Kecamatan Galela Selatan, Kabupaten Halmahera Utara, Maluku Utara ", SPPG Halmahera Utara Galela Selatan Togawabesi 
182,166.0, LAMPUNG , TULANG BAWANG BARAT , LAMBU KIBANG , GUNUNG SARI ," Gunung Sari, Kecamatan Lambu Kibang, Kabupaten Tulang Bawang Barat, Lampung ", SPPG Tulang Bawang Barat Lambu Kibang Gunung Sari 
183,167.0, KALIMANTAN TIMUR , KUTAI KARTANEGARA , TENGGARONG SEBERANG , KERTA BUANA ," Jalan Poros L4 No 31 B RT 26 Kel Kerta Bhuana , Kec Tenggarong Sebrang , Kabupaten Kutai Kartanegara , Kalimantan Timur , 75572 ", SPPG Kukar Tenggarong Seberang Kerta Buana 
184,168.0, JAWA TIMUR , PAMEKASAN , TLANAKAN , AMBAT ," Jl. Taman Sari No. 09, Ambat, Kec. Tlanakan, Kab. Pamekasan, Jawa Timur ", SPPG Pamekasan Tlanakan Ambat 2 
185,169.0, JAWA TENGAH , BANYUMAS , KEMRANJEN , NUSAMANGIR ," Jl. Stasiun, Nusamangir RT 02 RW 01, Kemranjen, Banyumas , Jawa tengah ", SPPG Banyumas Kemranjen Nusamangir 
186,170.0, ACEH , ACEH TAMIANG , MANYAK PAYED , TANJUNG NERACA ," Desa Tanjong Neraca, Kec. Manyak Payed, Kab. Aceh Tamiang, Aceh ", SPPG Aceh Tamiang Manyak Payed Tanjung Neraca 
188,171.0, JAMBI , TANJUNG JABUNG TIMUR , MUARA SABAK BARAT , NIBUNG PUTIH ," Jalan Jenderal Sudirman, RT 03, Kelurahan Nibung Putih, Kecamatan Muara Sabak Barat, Kabupaten Tanjung Jabung Timur, Provinsi Jambi ", SPPG Tanjung Jabung Timur Muara Sabak Barat Nibung Putih 
189,172.0, JAWA BARAT , KOTA BANDUNG , SUMUR BANDUNG , KEBON PISANG ," Jl. Naripan No.28B, Kelurahan Kebon Pisang, Kecamatan Sumur Bandung, Kota Bandung, Jawa Barat ", SPPG Kota Bandung Sumur Bandung Kebon Pisang 
190,173.0, JAWA BARAT , BANDUNG , MAJALAYA , BIRU ," Jl. Cangkuang Rt 03 Rw 05 Desa Biru, Kec. Majalaya, Kab. Bandung, Jawa Barat ", SPPG Bandung Majalaya Biru 4 
191,174.0, BENGKULU , BENGKULU UTARA , KETAHUN , GIRI KENCANA ," Desa Giri Kencana Kec. Ketahun Bengkulu Utara, Kab. Bengkulu Utara, Bengkulu ", SPPG Bengkulu Utara Ketahun Giri Kencana 1 
192,175.0, JAWA TIMUR , KOTA SURABAYA , BUBUTAN , TEMBOK DUKUH ," Jl. Demak Madya No. 11 A, Tembok Dukuh, Kec. Bubutan, Kota Surabaya, Jawa Timur ", SPPG Kota Surabaya Bubutan Tembok Dukuh 
193,176.0, JAWA BARAT , KOTA BEKASI , RAWALUMBU , BOJONG RAWALUMBU ," Jl. Inpres/Kampung Rawa Roko, Rt. 04/Rw. 04, Kelurahan Bojong Rawalumbu, Kecamatan Rawalumbu, Kota Bekasi, Jawa Barat ", SPPG Kota Bekasi Rawalumbu Bojong Rawalumbu 10 
194,177.0, JAWA TIMUR , PASURUAN , POHJENTREK , PARASREJO ," Dusun Panulupan Musholla, Rt.001/Rw.003, Parasrejo, Kec. Pohjentrek, Kab. Pasuruan, Jawa Timur ", SPPG Pasuruan Pohjentrek Parasrejo 
195,178.0, BANTEN , LEBAK , CIKULUR , CIKULUR ," Kampung Baluk, Cikulur, Kec. Cikulur, Kab. Lebak, Banten ", SPPG Lebak Cikulur Cikulur 3 
196,179.0, JAWA TENGAH , SRAGEN , KALIJAMBE , SAREN ," Dukuh Saren, Desa Saren, Kecamatan Kalijambe, Kabupaten Sragen, Jawa Tengah ", SPPG Sragen Kalijambe Saren 
197,180.0, JAWA TENGAH , PURWOREJO , KALIGESING , KALIGONO ," Jl. Wonorejo, Kaligono, Kec. Kaligesing, Kab. Purworejo, Jawa Tengah ", SPPG Purworejo Kaligesing Kaligono 
199,181.0, JAWA BARAT , SUBANG , PAGADEN , SUKAMULYA ," Kampung Rancabogo RT 016 RW 004, Desa Sukamulya, Kecamatan Pagaden, Kabupaten Subang, Jawa Barat ", SPPG Subang Pagaden Sukamulya 3 
200,182.0, PAPUA PEGUNUNGAN , LANNY JAYA , MAKKI , KEMIRI ," Yugumia, Kecamatan Makki, Kabupaten Lanny Jaya, Papua Pegunungan ", SPPG Lanny Jaya Makki Kemiri 
201,183.0, PAPUA TENGAH , MIMIKA , WANIA , KAMORO JAYA ," Jl Irigasi, Gang Kelapa Gading ", SPPG Mimika Wania Kamoro Jaya 1 
202,184.0, NUSA TENGGARA TIMUR , MALAKA , WELIMAN , TAABA ," Jl. Ahmad Yani, Taaba, Rt/Rw 007/004, Desa Taaba, Kecamatan Weliman, Kabupaten Malaka, Nusa Tenggara Timur ", SPPG Malaka Weliman Taaba 
203,185.0, SULAWESI TENGGARA , KONAWE , UNAAHA , AROMBU ," Jl. Anoa No. 333, Kel. Arombu , Kec. Unaaha,, Arombu, Unaaha, Kab. Konawe, Sulawesi Tenggara ", SPPG Konawe Unaaha Arombu 
204,186.0, JAWA TIMUR , LAMONGAN , MODO , KEDUNGREJO ," Dusun Karangpilang Rt 004 Rw 001, Desa Kedungrejo, Kecamatan Modo, Kabupaten Lamongan, Jawa Timur ", SPPG Lamongan Modo Kedungrejo 
205,187.0, JAWA TENGAH , BREBES , SONGGOM , SONGGOM ," Jl. Pejagan - Bumiayu, Lapangan Tembak Kodim, Songgom, Kec. Songgom, Kab. Brebes ", SPPG Brebes Songgom Songgom 
206,188.0, JAWA BARAT , KOTA TASIKMALAYA , CIPEDES , NAGARASARI ," Kampung Cikalang Girang No.115 Kel. Nagarasari, Kec. Cipedes, Kota Tasikmalaya, Jawa Barat ", SPPG Kota Tasikmalaya Cipedes Nagarasari 6 
207,189.0, SUMATERA SELATAN , OGAN KOMERING ULU SELATAN , SIMPANG , SINAR MULYO ," Desa Sinar Mulyo, Kecamatan Simpang, Kabupaten Ogan Komering Ulu Selatan, Provinsi Sumatera Selatan ", SPPG Ogan Komering Ulu Selatan Simpang Sinar Mulyo 
208,190.0, ACEH , ACEH BESAR , INDRAPURI , SINYEU , Jl. Banda Aceh Medan Desa Sinyeu Kec. Indrapuri Kab. Aceh Besar Provinsi Aceh , SPPG Aceh Besar Indrapuri Sinyeu 
210,191.0, JAWA BARAT , INDRAMAYU , TERISI , CIKAWUNG ," Jl. Raya Cikawung-Cikamurang Rt/Rw 018/005 Desa Cikawung Kec. Terisi Kab. Indramayu, Jawa Barat ", SPPG Indramayu Terisi Cikawung 
211,192.0, SUMATERA UTARA , DAIRI , PARBULUAN , PARBULUAN III ," Huta Betlehem Sinaga Parbuluan III, Kecamatan Parbuluan, Kabupaten Dairi, Sumatera Utara ", SPPG Dairi Parbuluan Parbuluan III 
212,193.0, BALI , TABANAN , KEDIRI , ABIAN TUWUNG ," Banjar Koripan Kaja, Kecamatan Kediri, Kabupaten Tabanan, Bali ", SPPG Tabanan Kediri Abian Tuwung 
213,194.0, JAWA TIMUR , MAGETAN , PANEKAN , TURI ," Area Persawahan, Desa Turi, Kecamatan Panekan, Kabupaten Magetan, Jawa Timur ", SPPG Magetan Panekan Turi 
214,195.0, JAWA BARAT , SUMEDANG , RANCAKALONG , NAGARAWANGI ," Dusun Cileutik Rt 04 Rw 02, Desa Nagarawangi, Kecamatan Rancakalong, Kabupaten Sumedang, Jawa Barat. ", SPPG Sumedang Rancakalong Nagarawangi 2 
215,196.0, DKI JAKARTA , KOTA ADM. JAKARTA SELATAN , PASAR MINGGU , RAGUNAN ," Jl. Harsono RM No.54 8, RT.8/RW.4, 12160 ", SPPG Jaksel Pasar Minggu Ragunan 1 
216,197.0, JAWA BARAT , KARAWANG , TELAGASARI , PASIRTALAGA , Dusun Pasirtalaga II RTRW 012 , SPPG Karawang Telagasari Pasirtalaga 
217,198.0, JAWA TIMUR , MOJOKERTO , PURI , KEBONAGUNG ," Sumber Sroyo, Kebonagung, Kecamatan Puri, Kabupaten Mojokerto, Jawa Timur ", SPPG Mojokerto Puri Kebonagung 
218,199.0, SUMATERA UTARA , ASAHAN , KOTA KISARAN BARAT , SEI RENGGAS ," Jl. Kancil, Sei Renggas, Kec. Kota Kisaran Barat, Kab. Asahan, Sumatera Utara ", SPPG Asahan Kota Kisaran Barat Sei Renggas 3 
219,200.0, SUMATERA UTARA , PADANG LAWAS UTARA , PADANG BOLAK , HUTALOMBANG ," Jl. Hutaimbaru Gunung Tua, Hutalombang, Kec. Padang Bolak, Kab. Padang Lawas Utara, Sumatera Utara ", SPPG Padang Lawas Utara Padang Bolak Hutalombang 2 
221,201.0, JAWA BARAT , SUKABUMI , CIDAHU , CIDAHU ," Jl. Raya Cidahu, Cidahu, Kec. Cidahu, Kab. Sukabumi, Jawa Barat ", SPPG Sukabumi Cidahu Cidahu 3 
222,202.0, JAMBI ,  MUARO JAMBI , MESTONG , TEMPINO ," Jalan Raya Palembang Jambi Kilometer 28 Nomor 35, Desa Tempino, Kecamatan Mestong, Kabupaten Muaro Jambi, Provinsi Jambi  ", SPPG  Muaro Jambi Mestong Tempino  
223,203.0, JAWA TENGAH , PURBALINGGA , BOBOTSARI , MAJAPURA ," Jl. Sersan Sayun, Dusun 1 Majapura, Kec. Bobotsari, Kab. Purbalingga, Jawa Tengah ", SPPG Purbalingga Bobotsari Majapura 
224,204.0, JAWA BARAT , BEKASI , SETU , CIKARAGEMAN ," Kampung Sadang, Desa Cikarageman, Rt 02 Rw 01 Kecamatan Setu, Kabupaten Bekasi, Jawa Barat ", SPPG Bekasi Setu Cikarageman 2 
225,205.0, JAWA TIMUR , KEDIRI , NGASEM , TUGUREJO ," Jl. Sumatera Jaya, Desa Tugurejo, Dusun Jeruk Rt 04 Rw 04, Kecamatan Ngasem, Kabupaten Kediri, Jawa Timur ", SPPG Kediri Ngasem Tugurejo 
226,206.0, JAWA BARAT , CIREBON , DUKUPUNTANG , SINDANGJAWA ," Jl. Nyi Ageng Serang Rt 001 Rw 002 Desa Sindangjawa Kecamatan Dukupuntang Kabupaten Cirebon, Jawa Barat ", SPPG Cirebon Dukupuntang Sindangjawa 
227,207.0, KALIMANTAN TENGAH , BARITO SELATAN , DUSUN SELATAN , HILIR SEPER , Jl. Tugu Nomor 14 Buntok Kec. Dusun Selatan Kab. Barito Selatan Kalimantan Tengah , SPPG Barito Selatan Dusun Selatan Hilir Seper 2 
228,208.0, JAWA TENGAH , KLATEN , KLATEN UTARA , GERGUNUNG ," Jl. Ki Ageng Panjawi, Pondok, Gergunung, Kecamatan Klaten Utara, Kabupaten Klaten, Jawa Tengah ", SPPG Klaten Klaten Utara Gergunung 2 
229,209.0, BANTEN , KOTA TANGERANG SELATAN , CIPUTAT TIMUR , CIREUNDEU ," Jl. Gunung Indah VII No.29, Cireundeu, Kec. Ciputat Timur, Kota Tangerang Selatan, Banten ", SPPG Kota Tangerang Selatan Ciputat Timur Cireundeu  
230,210.0, JAWA TIMUR , PASURUAN , POHJENTREK , WARUNGDOWO ," Jl. Raya Warungdowo Barat No 8, Warungdowo, Kec. Pohjentrek, Kab. Pasuruan, Jawa Timur ", SPPG Pasuruan Pohjentrek Warungdowo 
232,211.0, BANTEN , TANGERANG , PANONGAN , MEKAR BAKTI ," Jl. Citra Raya Utama Timur B, Mekar Bakti, Kec. Panongan, Kabupaten Tangerang, Banten 15710, Mekar Bakti, Panongan, Kab. Tangerang, Banten ", SPPG Tangerang Panongan Mekar Bakti 1 
233,212.0, NUSA TENGGARA BARAT , LOMBOK BARAT , GERUNG , GERUNG UTARA ," Jl. Raya Lembar Gerung, Gerung Utara, Kec. Gerung, Kab. Lombok Barat, Nusa Tenggara Barat ", SPPG Lombok Barat Gerung Gerung Utara 2 
234,213.0, JAWA BARAT , CIREBON , GEGESIK , GEGESIK KIDUL ," Jalan Raya Gegesik No. 20, Desa Gegesik Kidul, Kecamatan Gegesik, Kabupaten Cirebon, Jawa Barat. ", SPPG Cirebon Gegesik Gegesik Kidul 2 
235,214.0, KALIMANTAN SELATAN , HULU SUNGAI TENGAH , BATANG ALAI SELATAN , WAWAI GARDU ," Jl. Kesatria, Wawai Gardu, Wawai Gardu, Kec. Batang Alai Selatan, Kab. Hulu Sungai Tengah, Kalimantan Selatan ", SPPG Hulu Sungai Tengah Batang Alai Selatan Wawai Gardu 
236,215.0, KEPULAUAN BANGKA BELITUNG , KOTA PANGKAL PINANG , GIRIMAYA , SRIWIJAYA ," JL. BERLIAN VI, RT/RW. 006/003, Kel. Sriwijaya, Kec. Girimaya, Kota. Pangkalpinang, Prov. Kepulauan Bangka Belitung, 33143 ", SPPG Kota Pangkal Pinang Girimaya Sriwijaya 
237,216.0, JAWA BARAT , KOTA BOGOR , BOGOR SELATAN , KERTAMAYA ," Jl. Bojong Margasri Rt.02/Rw.06, Kertamaya, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat ", SPPG Kota Bogor Bogor Selatan Kertamaya 
238,217.0, JAWA TENGAH , BANJARNEGARA , SUSUKAN , KEDAWUNG ," Desa Kedawung Rt 1 Rw 4 Kecamatan Susukan Kabupaten Banjarnegara, Jawa Tengah ", SPPG Banjarnegara Susukan Kedawung 
239,218.0, DAERAH ISTIMEWA YOGYAKARTA , SLEMAN , PAKEM , HARJOBINANGUN ," Jl. Boyong Km. 1 No.5, Trojayan, Harjobinangun, Kec. Pakem, Kab. Sleman, Daerah Istimewa Yogyakarta ", SPPG Sleman Pakem Harjobinangun 3 
240,219.0, JAWA BARAT , BANDUNG BARAT , LEMBANG , GUDANGKAHURIPAN ," Jl. Raya Lembang No 234, Gudangkahuripan, Kec. Lembang, Kab. Bandung Barat, Jawa Barat ", SPPG Bandung Barat Lembang Gudangkahuripan 
